flight_id,mission_id,aircraft_id,pic_crew_id,origin_base_id,dest_base_id,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_hours,fuel_burn_lbs,status,delay_minutes,delay_reason
1,1,22,3,1,1,2024-01-01 11:32:00,2024-01-01 11:32:00,2024-01-01 19:57:30,2024-01-01 19:57:30,8.4,17876.0,completed,0,
2,2,48,16,1,1,2024-01-01 16:19:00,2024-01-01 16:19:00,2024-01-01 19:37:10,2024-01-01 19:37:10,3.3,10202.0,completed,0,
3,3,22,16,1,5,2024-01-01 22:58:00,2024-01-01 22:58:00,2024-01-02 02:38:08,2024-01-02 02:38:08,3.7,4487.0,completed,0,
4,3,22,92,5,1,2024-01-02 05:46:18,2024-01-02 05:46:18,2024-01-02 09:24:36,2024-01-02 09:24:36,3.6,12902.0,completed,0,
5,4,41,12,1,6,2024-01-01 22:20:00,2024-01-01 22:20:00,2024-01-02 08:04:35,2024-01-02 08:04:35,9.7,30334.0,completed,0,
6,5,5,16,1,1,2024-01-01 20:41:00,2024-01-01 20:41:00,2024-01-01 22:01:11,2024-01-01 22:01:11,1.3,1407.0,completed,0,
7,6,22,16,1,5,2024-01-01 12:26:00,2024-01-01 12:26:00,2024-01-01 15:19:42,2024-01-01 15:19:42,2.9,10904.0,completed,0,
8,6,22,88,5,1,2024-01-01 21:04:53,2024-01-01 21:04:53,2024-01-02 00:00:02,2024-01-02 00:00:02,2.9,10507.0,completed,0,
9,7,5,16,1,5,2024-01-01 02:27:00,2024-01-01 02:42:00,2024-01-01 04:12:08,2024-01-01 04:27:08,1.8,5430.0,completed,15,airspace
10,8,41,13,1,1,2024-01-01 10:42:00,2024-01-01 10:42:00,2024-01-01 17:25:24,2024-01-01 17:25:24,6.7,19767.0,completed,0,
11,9,41,6,1,2,2024-01-01 09:22:00,2024-01-01 09:22:00,2024-01-01 14:14:07,2024-01-01 14:14:07,4.9,11387.0,completed,0,
12,10,40,22,2,4,2024-01-01 03:48:00,2024-01-01 04:03:00,2024-01-01 07:43:24,2024-01-01 07:58:24,3.9,6004.0,completed,15,maintenance
13,11,40,25,2,2,2024-01-01 00:11:00,2024-01-01 00:11:00,2024-01-01 09:48:49,2024-01-01 09:48:49,9.6,8453.0,completed,0,
14,12,42,29,2,3,2024-01-01 21:25:00,2024-01-01 21:25:00,2024-01-02 06:47:08,2024-01-02 06:47:08,9.4,32512.0,completed,0,
15,13,40,29,2,3,2024-01-01 10:10:00,2024-01-01 11:10:00,2024-01-01 11:57:44,2024-01-01 12:57:44,1.8,3347.0,completed,60,crew
16,13,40,39,3,2,2024-01-01 15:41:09,2024-01-01 15:41:09,2024-01-01 17:34:44,2024-01-01 17:34:44,1.9,2488.0,completed,0,
17,15,39,57,4,6,2024-01-01 03:18:00,2024-01-01 03:33:00,2024-01-01 07:58:57,2024-01-01 08:13:57,4.7,8819.0,completed,15,maintenance
18,16,17,66,4,6,2024-01-01 09:13:00,2024-01-01 09:13:00,2024-01-01 16:47:53,2024-01-01 16:47:53,7.6,10612.0,completed,0,
19,17,39,55,4,5,2024-01-01 17:45:00,2024-01-01 17:45:00,2024-01-01 22:37:28,2024-01-01 22:37:28,4.9,16041.0,completed,0,
20,17,39,75,5,4,2024-01-02 01:46:11,2024-01-02 01:46:11,2024-01-02 07:05:48,2024-01-02 07:05:48,5.3,16230.0,completed,0,
21,18,43,91,5,4,2024-01-01 18:27:00,2024-01-01 18:27:00,2024-01-02 03:36:26,2024-01-02 03:36:26,9.2,19512.0,completed,0,
22,19,45,92,5,3,2024-01-01 22:58:00,2024-01-01 23:58:00,2024-01-02 01:07:58,2024-01-02 02:07:58,2.2,7355.0,completed,60,weather
23,20,37,78,5,6,2024-01-01 23:21:00,2024-01-01 23:21:00,2024-01-02 03:44:51,2024-01-02 03:44:51,4.4,13040.0,completed,0,
