event_id,aircraft_id,base_id,event_type,category,started_at,completed_at,aircraft_hours_at_event,next_due_hours,next_due_date,grounded_days,description
1,1,6,unscheduled,hydraulic,2024-01-31 19:57:00,2024-02-04 02:57:00,112.7,,,2,unscheduled hydraulic repair
2,1,6,unscheduled,airframe,2024-03-19 07:33:00,2024-03-22 04:33:00,299.6,,,2,unscheduled airframe repair
3,1,6,unscheduled,avionics,2024-03-20 17:10:55,2024-03-24 04:10:55,329.3,,,0,unscheduled avionics repair
4,1,6,unscheduled,airframe,2024-04-01 16:47:00,2024-04-05 00:47:00,385.8,,,1,unscheduled airframe repair
5,1,6,unscheduled,engine,2024-04-10 15:35:00,2024-04-12 16:35:00,423.1,,,2,unscheduled engine repair
6,1,6,unscheduled,landing_gear,2024-05-29 08:51:11,2024-05-30 21:51:11,711.6,,,2,unscheduled landing_gear repair
7,1,6,unscheduled,avionics,2024-06-11 17:20:00,2024-06-15 13:20:00,849.2,,,3,unscheduled avionics repair
8,1,6,inspection,avionics,2024-06-29 03:42:00,2024-06-29 07:42:00,1004.6,,2024-12-26,0,scheduled avionics check
9,1,6,unscheduled,airframe,2024-07-15 05:18:00,2024-07-17 19:18:00,1160.6,,,20,unscheduled airframe repair
10,1,6,unscheduled,hydraulic,2024-07-21 05:47:00,2024-07-21 15:47:00,1209.1,,,1,unscheduled hydraulic repair
11,1,6,unscheduled,airframe,2024-07-23 18:37:00,2024-07-25 13:37:00,1221.8,,,2,unscheduled airframe repair
12,1,6,unscheduled,avionics,2024-07-28 23:17:00,2024-07-29 20:17:00,1297.1,,,3,unscheduled avionics repair
13,1,6,unscheduled,avionics,2024-08-20 18:07:21,2024-08-24 17:07:21,1445.7,,,5,unscheduled avionics repair
14,1,6,unscheduled,landing_gear,2024-08-26 00:25:21,2024-08-27 05:25:21,1492.0,,,3,unscheduled landing_gear repair
15,1,6,scheduled,engine,2024-08-29 11:55:00,2024-08-29 19:55:00,1502.9,3002.9,2025-02-25,2,scheduled engine service
16,1,6,unscheduled,engine,2024-09-14 14:59:00,2024-09-15 16:59:00,1607.3,,,2,unscheduled engine repair
