mission_id,mission_type,priority,requested_date,start_date,end_date,origin_base_id,dest_base_id,aircraft_id,status,pax_count,cargo_tons
1,transport,critical,2024-01-01 04:56:00,2024-01-01 07:56:00,2024-01-01 16:08:14,1,5,48,complete,78,
2,training,critical,2024-01-01 11:13:00,2024-01-01 14:13:00,2024-01-01 20:06:29,1,,48,complete,,
3,isr,routine,2024-01-01 20:22:00,2024-01-01 20:22:00,2024-01-02 01:44:46,1,,41,complete,,
4,cargo,critical,2024-01-01 20:40:00,2024-01-02 00:40:00,2024-01-02 12:20:55,1,5,10,complete,,13.3
5,medevac,urgent,2024-01-01 06:37:00,2024-01-01 07:37:00,2024-01-01 17:33:36,2,3,42,complete,18,
6,sar,routine,2024-01-01 08:51:00,2024-01-01 09:51:00,2024-01-01 12:03:33,2,3,42,complete,16,
7,cargo,routine,2024-01-01 05:16:00,2024-01-01 05:16:00,2024-01-01 07:39:39,2,3,6,complete,,4.5
8,cargo,routine,2024-01-01 14:32:00,2024-01-01 15:32:00,2024-01-02 02:55:58,2,4,6,complete,,31.3
9,transport,routine,2024-01-01 01:30:00,2024-01-01 04:30:00,2024-01-01 10:11:20,2,5,6,complete,56,
10,cargo,urgent,2024-01-01 04:17:00,2024-01-01 08:17:00,2024-01-01 16:14:49,2,4,6,complete,,13.0
11,training,routine,2024-01-01 20:41:00,2024-01-02 00:41:00,2024-01-02 09:36:45,3,,13,complete,,
12,training,urgent,2024-01-01 12:26:00,2024-01-01 12:26:00,2024-01-01 16:52:16,3,,47,complete,,
13,isr,routine,2024-01-01 02:05:00,2024-01-01 02:05:00,2024-01-01 04:06:31,3,,47,complete,,
14,transport,routine,2024-01-01 21:07:00,2024-01-02 00:07:00,2024-01-02 05:00:22,3,2,34,complete,54,
15,transport,routine,2024-01-01 03:36:00,2024-01-01 07:36:00,2024-01-01 10:56:24,3,4,34,complete,28,
16,cargo,routine,2024-01-01 18:14:00,2024-01-01 21:14:00,2024-01-02 07:31:48,3,6,32,cancelled,,32.7
17,sar,urgent,2024-01-01 21:53:00,2024-01-01 23:53:00,2024-01-02 01:12:06,4,6,,complete,39,
18,isr,routine,2024-01-01 18:42:00,2024-01-01 21:42:00,2024-01-01 23:27:55,4,,17,complete,,
