observation_id,base_id,observed_at,temp_c,wind_speed_kts,wind_gust_kts,visibility_sm,ceiling_ft,precip_type,precip_intensity,flight_category
1,1,2024-01-01 00:00:00,4.9,15,,9.0,20905,rain,heavy,VFR
2,1,2024-01-01 03:00:00,-7.4,17,,11.3,12850,none,,VFR
3,1,2024-01-01 06:00:00,14.1,4,,11.0,27515,none,,VFR
4,1,2024-01-01 09:00:00,17.8,16,27,12.7,17961,none,,VFR
5,1,2024-01-01 12:00:00,15.5,12,,7.3,15176,none,,VFR
6,1,2024-01-01 15:00:00,15.1,16,,9.2,9978,none,,VFR
7,1,2024-01-01 18:00:00,4.7,0,8,9.2,16239,rain,heavy,VFR
8,1,2024-01-01 21:00:00,3.5,9,,10.5,19850,none,,VFR
9,1,2024-01-02 00:00:00,37.8,8,,6.8,15278,none,,VFR
10,1,2024-01-02 03:00:00,13.0,18,,10.6,14025,none,,VFR
11,1,2024-01-02 06:00:00,25.7,16,,7.3,18895,none,,VFR
12,1,2024-01-02 09:00:00,3.6,6,13,9.2,8627,none,,VFR
13,1,2024-01-02 12:00:00,25.5,11,13,5.0,21647,none,,VFR
14,1,2024-01-02 15:00:00,17.1,16,26,10.3,7510,none,,VFR
15,1,2024-01-02 18:00:00,11.1,0,,5.9,15322,none,,VFR
16,1,2024-01-02 21:00:00,0.6,12,16,12.2,16149,none,,VFR
17,1,2024-01-03 00:00:00,6.1,1,11,6.7,14844,none,,VFR
18,1,2024-01-03 03:00:00,4.3,10,14,5.7,7008,none,,VFR
19,1,2024-01-03 06:00:00,15.7,12,24,9.6,19009,rain,heavy,VFR
20,1,2024-01-03 09:00:00,9.5,2,,10.1,200,none,,LIFR
21,1,2024-01-03 12:00:00,-0.1,1,,10.0,11489,none,,VFR
22,1,2024-01-03 15:00:00,18.7,13,,9.3,22228,none,,VFR
23,1,2024-01-03 18:00:00,4.9,18,,7.1,17299,none,,VFR
